title,article_link,thumbnail_link,caption,date,author,page
[Cek Fakta] Seorang Ahli Virologi Sebut Vaksin Covid-19 Bisa Menyebabkan HIV? Cek Dulu Faktanya,https://www.medcom.id/telusur/cek-fakta/Wb7XaaPk-cek-fakta-seorang-ahli-virologi-sebut-vaksin-covid-19-bisa-menyebabkan-hiv-cek-dulu-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/05/1396633/rfGdIiTnP6.png?w=320,, 05-Maret-2022 16:42,,0
[Cek Fakta] Jokowi Dikabarkan Mau Menjabat Tiga Periode Jika Dipaksa Rakyat? Cek Dulu Faktanya,https://www.medcom.id/telusur/cek-fakta/Rb1GpG3K-cek-fakta-jokowi-dikabarkan-mau-menjabat-tiga-periode-jika-dipaksa-rakyat-cek-dulu-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/05/1396571/j9MxolLXr3.png?w=320,, 05-Maret-2022 12:35,,0
"[Cek Fakta] Video Ledakan Besar di Ukraina Akibat Serangan Rusia Hoaks, Begini Faktanya",https://www.medcom.id/telusur/cek-fakta/Obz4mAgK-cek-fakta-video-ledakan-besar-di-ukraina-akibat-serangan-rusia-hoaks-begini-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/04/1396410/gGfAbLaIRv.png?w=320,, 04-Maret-2022 20:33,,0
[Cek Fakta] Beredar Video Jokowi dan Sejumlah Menteri Rapat Tanpa Masker? Cek Dulu Faktanya,https://www.medcom.id/telusur/cek-fakta/4baqx73b-cek-fakta-beredar-video-jokowi-dan-sejumlah-menteri-rapat-tanpa-masker-cek-dulu-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/04/1396267/jpVbLJD2g3.png?w=320,, 04-Maret-2022 15:55,,0
"[Cek Fakta] Bimoli Bagikan Uang Rp2 Juta dalam Rangka Ulang Tahun ke-50 Hoaks, Ini Faktanya",https://www.medcom.id/telusur/cek-fakta/Dkq4Aj6b-cek-fakta-bimoli-bagikan-uang-rp2-juta-dalam-rangka-ulang-tahun-ke-50-hoaks-ini-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/04/1396172/zpU71xknLP.png?w=320,, 04-Maret-2022 11:53,,0
[Cek Fakta] Benarkah Pemerintah Minta Masyarakat Ikut Wajib Militer Antisipasi Perang Dunia Ketiga? Begini Faktanya,https://www.medcom.id/telusur/cek-fakta/Rkjve2Ek-cek-fakta-benarkah-pemerintah-minta-masyarakat-ikut-wajib-militer-antisipasi-perang-dunia-ketiga-begini-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/03/1395943/goBi0KIbTL.png?w=320,, 03-Maret-2022 16:14,,0
"[Cek Fakta] Wasiat Menteri Yaqut jika Meninggal tak Ingin Azan, tapi Lagu Dangdut? Ini Faktanya",https://www.medcom.id/telusur/cek-fakta/JKR330wN-cek-fakta-wasiat-menteri-yaqut-jika-meninggal-tak-ingin-azan-tapi-lagu-dangdut-ini-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/03/1395848/YJqUZearpb.png?w=320,, 03-Maret-2022 12:01,,0
[Cek Fakta] Video Konvoi Sepeda Motor Ganti Toa Masjid Jadi Knalpot? Cek Dulu Faktanya,https://www.medcom.id/telusur/cek-fakta/4KZqqDpk-cek-fakta-video-konvoi-sepeda-motor-ganti-toa-masjid-jadi-knalpot-cek-dulu-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/03/1395844/eB8xRFjqfT.png?w=320,, 03-Maret-2022 11:25,,0
[Cek Fakta] Ukraina Jual Tank Bekas Rusia di Situs Jual Beli Daring? Ini Faktanya,https://www.medcom.id/telusur/cek-fakta/GbmaaQxb-cek-fakta-ukraina-jual-tank-bekas-rusia-di-situs-jual-beli-daring-ini-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/03/1395811/Un604dPvXf.png?w=320,, 03-Maret-2022 10:21,,0
[Cek Fakta] Video Gadis Kecil Mengusir Tentara Rusia? Ini Faktanya,https://www.medcom.id/telusur/cek-fakta/aNrvvlgN-cek-fakta-video-gadis-kecil-mengusir-tentara-rusia-ini-faktanya,https://cdn.medcom.id/dynamic/content/2022/03/03/1395793/LmrJoesfqc.png?w=320,, 03-Maret-2022 09:34,,0
